driverId,forename,surname,difference,teammateId,teammateName,age,year,circuit
56,Eddie,Irvine,-0.6616825396825481,37,rosa,36,2001,United States Grand Prix
49,Heinz-Harald,Frentzen,-0.47397333333333014,61,enge,34,2001,United States Grand Prix
37,Pedro,de la Rosa,0.5183529411764791,56,irvine,30,2001,United States Grand Prix
4,Fernando,Alonso,-0.9882382550335569,62,yoong,20,2001,United States Grand Prix
35,Jacques,Villeneuve,0.8830649350649361,44,panis,30,2001,United States Grand Prix
59,Enrique,Bernoldi,-0.18700000000000472,50,verstappen,23,2001,United States Grand Prix
50,Jos,Verstappen,0.23456862745098084,59,bernoldi,29,2001,United States Grand Prix
61,Tomáš,Enge,0.0,49,frentzen,25,2001,United States Grand Prix
62,Alex,Yoong,0.49966666666666504,4,alonso,25,2001,United States Grand Prix
57,Mika,Häkkinen,0.06354237288135728,14,coulthard,32,2000,Australian Grand Prix
14,David,Coulthard,0.16182911392404903,57,hakkinen,29,2000,Australian Grand Prix
30,Michael,Schumacher,0.3032947976878596,22,barrichello,31,2000,Australian Grand Prix
22,Rubens,Barrichello,0.05764319248826434,30,michael_schumacher,28,2000,Australian Grand Prix
49,Heinz-Harald,Frentzen,0.285026666666656,15,trulli,33,2000,Australian Grand Prix
15,Jarno,Trulli,0.25836000000000986,49,frentzen,26,2000,Australian Grand Prix
56,Eddie,Irvine,-2.2956825396825487,65,herbert,35,2000,Australian Grand Prix
35,Jacques,Villeneuve,-1.1559350649350653,41,zonta,29,2000,Australian Grand Prix
21,Giancarlo,Fisichella,-0.7134893617021301,25,wurz,27,2000,Australian Grand Prix
63,Mika,Salo,-1.0435957446808497,64,diniz,34,2000,Australian Grand Prix
23,Ralf,Schumacher,-1.64432673267327,18,button,25,2000,Australian Grand Prix
37,Pedro,de la Rosa,-0.12564705882354057,50,verstappen,29,2000,Australian Grand Prix
50,Jos,Verstappen,0.37956862745099107,37,rosa,28,2000,Australian Grand Prix
25,Alexander,Wurz,0.4072424242424249,21,fisichella,26,2000,Australian Grand Prix
2,Nick,Heidfeld,-0.14555147058823834,55,alesi,23,2000,Australian Grand Prix
41,Ricardo,Zonta,0.45769999999999844,35,villeneuve,24,2000,Australian Grand Prix
55,Jean,Alesi,0.18220000000000217,2,heidfeld,36,2000,Australian Grand Prix
48,Marc,Gené,-1.511800000000001,60,mazzacane,26,2000,Australian Grand Prix
64,Pedro,Diniz,0.9585555555555547,63,salo,30,2000,Australian Grand Prix
65,Johnny,Herbert,1.8453571428571514,56,irvine,36,2000,Australian Grand Prix
18,Jenson,Button,1.6219243027888486,23,ralf_schumacher,20,2000,Australian Grand Prix
60,Gastón,Mazzacane,0.7732499999999973,48,gene,25,2000,Australian Grand Prix
57,Mika,Häkkinen,0.11754237288135932,14,coulthard,32,2000,San Marino Grand Prix
30,Michael,Schumacher,-0.7357052023121277,22,barrichello,31,2000,San Marino Grand Prix
14,David,Coulthard,0.10782911392404698,57,hakkinen,29,2000,San Marino Grand Prix
22,Rubens,Barrichello,1.0966431924882516,30,michael_schumacher,28,2000,San Marino Grand Prix
23,Ralf,Schumacher,-1.300326732673276,18,button,25,2000,San Marino Grand Prix
49,Heinz-Harald,Frentzen,0.3200266666666668,15,trulli,33,2000,San Marino Grand Prix
56,Eddie,Irvine,-1.2936825396825389,65,herbert,35,2000,San Marino Grand Prix
15,Jarno,Trulli,0.22335999999999906,49,frentzen,26,2000,San Marino Grand Prix
35,Jacques,Villeneuve,-0.6969350649350622,41,zonta,29,2000,San Marino Grand Prix
64,Pedro,Diniz,-0.4994444444444437,63,salo,30,2000,San Marino Grand Prix
25,Alexander,Wurz,-1.3477575757575706,21,fisichella,26,2000,San Marino Grand Prix
63,Mika,Salo,0.4144042553191487,64,diniz,34,2000,San Marino Grand Prix
37,Pedro,de la Rosa,-0.46764705882352514,50,verstappen,29,2000,San Marino Grand Prix
41,Ricardo,Zonta,-0.0013000000000047418,35,villeneuve,24,2000,San Marino Grand Prix
55,Jean,Alesi,-1.5278000000000058,2,heidfeld,36,2000,San Marino Grand Prix
50,Jos,Verstappen,0.7215686274509756,37,rosa,28,2000,San Marino Grand Prix
65,Johnny,Herbert,0.8433571428571418,56,irvine,36,2000,San Marino Grand Prix
18,Jenson,Button,1.2779243027888545,23,ralf_schumacher,20,2000,San Marino Grand Prix
21,Giancarlo,Fisichella,1.0415106382978654,25,wurz,27,2000,San Marino Grand Prix
60,Gastón,Mazzacane,-0.8427500000000023,48,gene,25,2000,San Marino Grand Prix
48,Marc,Gené,0.10419999999999874,60,mazzacane,26,2000,San Marino Grand Prix
2,Nick,Heidfeld,1.5644485294117696,55,alesi,23,2000,San Marino Grand Prix
22,Rubens,Barrichello,-0.4273568075117351,30,michael_schumacher,28,2000,British Grand Prix
49,Heinz-Harald,Frentzen,-1.0279733333333323,15,trulli,33,2000,British Grand Prix
57,Mika,Häkkinen,0.07054237288136228,14,coulthard,32,2000,British Grand Prix
14,David,Coulthard,0.15482911392404403,57,hakkinen,29,2000,British Grand Prix
30,Michael,Schumacher,0.788294797687859,22,barrichello,31,2000,British Grand Prix
18,Jenson,Button,-0.0390756972111528,23,ralf_schumacher,20,2000,British Grand Prix
23,Ralf,Schumacher,0.016673267326731245,18,button,25,2000,British Grand Prix
